review_text,label
I fill these up and leave them in the refrigerator. I love not adding more bottles to the landfill.,OR
Great targets... Will buy again... Fast Del ..takes the guess work out if where you have hit your target!!!!!,OR
"Just what I wanted big enough for one small pistol, holster and compact cleaning kit I like I like.",OR
I guess you get what you pay for broke after it fell maybe two feet once. My own fault.,OR
Smaller in real life than I would have thought. Glad I bought 2. Very soft and very well made.,OR
"Sock was very long, over my knee. Like them otherwise, but returned for this reason and I'm 6'1"" tall.",OR
"Fit great, touchscreen ability is so so but lose a lot of warmth in the fingers because of it.",OR
"Poor design, handgun fits holster ok but holster mount offers no support on your belt, should have sent back.",OR
"i didn't mind that it's covered in cosmoline, but the blade is ultra dull, and huge chip in it",OR
Awesome!! Hubby loves it. Great quality! And the rubber one is perfect for when he's working.,OR
"Product itself is probably good, but for novice anglers the instructions are microscopic in size and puzzling in explanation.",OR
A bit tight to close.  But the rubber will probably wear down a bit to make it easier.,OR
Have this grip on a putter already and wanted another putter to have the same grip.,OR
My skinnier 10u girls can wear this with no problems.  Love that it accommodates the bigger girls too.,OR
"I tried the single pack before buying the can. Not my favorite flavor, but always happy with this brand.",OR
Not as easy to collapes as I had hoped. Have to hold on or it gets a little unstable.,OR
"This bag has an almost endless amount of room, great for multi carry and all the rounds you need",OR
They work well as part of the process of cleaning cleaning my shotgun.  Convenien and efficient when used.,OR
Works great..But once your kid gets this one moded to fit his elbow...DO NOT let anyone else wear it..,OR
So far they're great! No rips or tears after going a few rounds with them and hitting the bag!,OR
These look to be very nice. The only problem is that they are not very comfortable.,CG
You gotta get this clock!  I love the feel of this thing.,CG
There are already some damage marks on the side of the handlebars. These have a strong mark.,CG
Great for a hideaway weapon.  The only problem is that it comes with a small screw driver,CG
It's really good blocking the sun. The only downside is that it's kind of hard to throw,CG
I bought this as a gift for my son and it was a gift for him too!  It,CG
"Not something to wear out, but it's a very comfortable fit.  I have a large one",CG
"WOW, you CANNOT beat the price. The quality is amazing.",CG
Works good. Just wish it had a little longer cord.works great.Nice bag for the price,CG
"Mine shipped with 6 rings, a 3rd ring and two 4x4s.",CG
"Pretty cheapo looking and feeling, and it feels good on my wrist.  I have a large",CG
"As me and my wife, we love the swimming pool.  We also have a large one.",CG
I took off the swivel and it kept the chain in place.  I have a large,CG
This mat smells horrible!!! I've had it for a few months now and it's just the right,CG
Works amazing. Better than a few of the other materials.works great.Nice bag for the price,CG
Excellent fit/finish for the money.  The only problem is that it's a little hard,CG
"It was a lot bigger than I expected.  I was expecting a lot of small stuff, but",CG
"For me, they're just a little more expensive than the other two.  I just got a",CG
Purchased this as Christmas present and it was an awesome gift for my husband! He loves it,CG
I JUST THOUGHT I WOULDN'T BE A LITTLE GENTLE PYTHONER.I had a lot of trouble with the TV,CG
"A Person (s) asked me to by these (3) for her- them. One was very pleased!  WV is hilly , so no signal could be picked up . But it is a good product.",OR
"Does not have the ""soft"" feel of a leather case - but it is what it is.  Perfect fit - protects the kindle - and easy to handle.  Very sturdy and looks good.",OR
"great item! no more need to sit right by outlet. made well. my old style still works after years with ipad 2. now with ipad air, new style is very good after months of use.",OR
"The sound is amazing but I can't really make them stay inside my ear, and I've tried all included sizes of the rubber. If you move the cable it ""rubs"" and you can hear it.",OR
"What can I say it works as needed, usually last around 3 hours of full use on a battery only.  For the price you can't beat the battery.  It fit perfectly as well.",OR
Never could get this thing to work right. I hook it up to all the right connections; but get no response on the monitor. It has been added to my dust bin of useless parts.,OR
"This is super quiet,  works great keeps my laptop cool. The blue light it has makes it look great,  it is also helpful to see the keys in the dark.",OR
As long as they don't lose any files from my weddings I love them. I have never lost files from a wedding so I worry when I purchase new CF cards. So far so good.,OR
"Nice, simple, basic, small.  Purchased as a gift, so I can't speak from experience, but I did open it up and look at it.  Was a good fit for a small Nikon Coolpix.",OR
"You will read that the Hopper can take an external drive with a max of 3 terabytes, but this 3 terabyte drive works perfectly. It was truly plug and play.  I highly recommend it!",OR
"It's a good little clock, it is not too bright. You get what you pay for, however it will not pick up an FM station 20 miles away but it is a good alarm clock.",OR
"Can't give a true feed back for this as got it for my son, but he loves loves it updated for an older version he had a long time and it never let him down",OR
"Worked fantastically. Good heavy paper makes an easy seamless background. Good color as well. It is heavy and it does want to unroll, but I read the comments here and was prepared with a clamp.",OR
It was a top quality product but it was not compatible with my system so I had to return make sure to check I did but got poor information. Still it was a good product.,OR
Works great ! just be careful of putting to much cleaner on your dash but even with that you have to take corner pretty fast to get this to slide. I would def buy again,OR
For $17 it was a bargain. The quality is good but it's not a perfect fit. The bottom is too tight and the plastic feels cheap and the plastic feels cheap.,CG
"works well with the shakespear cable. The only problem is that it comes with a small screwdriver.I bought this for a friend, and he is very happy with the",CG
I've been using these with my old T3i and T4i for a couple of years.  The range is amazing.  I can get around a couple of miles,CG
"Fantastic charger, its worked perfectly and has kept the battery in good condition.Nice little speaker! Works great.  Great price!Works great.  The sound is great",CG
"Easy to install, shipped extremely fast. The only problem is that it comes with a small screwdriver.I bought this for a friend, and he is very happy with the purchase",CG
"Really, really cheap.  The mic has the quality of a good pair of headphones, the bass is good, and the mic is very comfortable.  The sound is crystal clear",CG
"Works good. Don't get it confused with the wide-angle model.  If you have a full-frame camera, the lens will be a bit wider than you think.",CG
"It is ok, seem to be a little noisy, but I will keep it for the next one.I bought this for a friend, and he is very happy with the purchase",CG
"Great product.  I didn't know it was an inch longer than the original one, but I'm glad I did.  The plastic part is also very light and easy to",CG
This product was OK.  But it didn't work.  My computer didn't recognize it and the other two computers had the same problem.  The TV was not working.,CG
I am in the process of upgrading my system to a newer Intel Gb2. I have an HP Pavilion 8.1. The latest version is running a Nvidia 750W CPU,CG
"I wanted to like this stylus, but it just wasn't as good as I expected. It is so small that it's not portable and takes up a lot of space.",CG
"This little device is perfect for me and the price. I will keep this in mind when buying.I bought this for a friend, and he is very happy with the purchase.",CG
Works great with a 2014 MacBook Pro and an AMD Athlon X2 processor. I have one in my office and the other in a office. The sound is great.,CG
"Worked great in my phone and it works fine.  I will keep my review for a while.I bought this for a friend, and he is very happy with the purchase",CG
Just got this. It is not universal for ski poles. It does not fit on the slim carbon composite  ski poles. They don't tell you that. It also broke.,OR
"Love it, cut down my cable. Great Product!Very good quality. Nice little speaker! Works great. Great price!Works great. The sound is great.",CG
"Excellent fit, very well made.  I love the materials.  The zipper is a little loose, but is so small that it doesn't bother me.  I think the zipper",CG
Awesome action cam. 1080p is what I wanted. Great sound. The only reason I gave it 4 stars is that the front of the camera is a little tight.,CG
LOVE this carrying case. Even better than the case on my Tivo.Nice little case! Works great.  Great price!Works great.  The sound is great.,CG
"These are not exactly like the ones I bought, but I did find that the dimensions were just right.  The ear buds are a bit small, but if you don't mind having",CG
Bought this for my upcoming vacation. The quality is good but it's not really the best one. I had to replace a solid one with the plastic one.,CG
"The ASUS DRW-24F1ST - DVD-ROM (120GB) - Intel GbE 2400GB SATA-3 6Gb/s Cache, 8GB Kingston H",CG
"Lets me get good pictures, and an easy way to watch video.  This is the first one I've owned.  The pictures look great and the sound is crystal clear.",CG
Probably the best boombox I've ever owned.  I've also owned a Sony Rollei (which I had a lot of trouble with) and a Sony EOS,CG
I'd give it 5 stars if it wasn't for the fact that it's a little hard to use.  I had to use a toothpick to get it to work.,CG
Got them for travel purpose and have them with me. works great. Nice little speaker! Works great. Great price!Works great. The sound is great.,CG
I love this card. We use it everyday with our tablets and it works great. I have one in my phone and the other in our office. The sound is crystal clear.,CG
This works perfect for hiding my old laptop. I've also used this for a few hours. I had to replace a defective one with the new one.,CG
"Another in a fine line, it's an excellent value for the money.  I'm not an expert on music, but I am a music lover, and this is a very good",CG
"These headphones sound just like the ones I bought, which is a nice bonus. I have one in my bedroom and the other in a office. The sound is crystal clear, and it",CG
I had a difficult time finding an easy way to connect the power supply to my computer.  I had an ethernet cable but it was too short to connect the power supply to my,CG
Great camera backpack. I wanted something to carry with me in the car or my bag. I just wanted a pair of ear buds. The Bose is the perfect fit.,CG
"It took me some time to figure out how to make the connection work, but I was able to get it working. The only thing I didn't like was the fact that it would",CG
I bought these way too lengthy but since they are excellent cables i don't mind. Will find a use for the 80ft i have left (haha). Get these with some banana plugs and you're good to go.,OR
Like this trackman & for the price it is great once you get use to it it will become an old friend at first I was not sure I liked it but now I like it allot,OR
"Best keyboard cover I've had to date. Laptop keys still have a little bit of ""give"", which I like, and the material just feels nice on the fingertips. Will buy more once I'll wear this one out.",OR
I purchased this set as a last minute purchase- the product is good. It chages quickly and is lighter than the Nikon brand I had been using. The car charger is great. Good product for the price.,OR
"Great price. Very fast. Had it for over a year now with no issue.
Durable little thing.
I have owned this for years now and it is always taking punishment on my key-chain and still going strong. Very durable.",OR
Well worth the $$ ....My Garmin wasn't holding a charge anymore. Figured I'd give this battery a shot. I really think this battery holds a charge longer than my original. Love it. Easy to install yourself too!,OR
"I loved all four seasons, and I am very pleased with all three seasons. I am not a fan of the old classics, so I am not sure if I would watch it again.The family had no idea that this film was going to be as good as it was.  I had a lot of fun watching the family get together and learn more about their childhood.  I will watch it again. ",CG
Along comes a wonderful movie that will make you feel like you are watching a great movie.  The story is not the best but it is entertaining and the acting is good.  The movie is a fun watch and will keep you interested for a long time.  I recommend this movie to anyone who likes family entertainment.I did not know about this movie until I watched it on PBS. I was quite surprised to,CG
i got this gem for $8.00 and it was a nice bonus for the whole family.I really enjoyed the movie. The characters and the story were great. The acting was great. The acting was great. The acting was good. The acting was good. The acting was good. The acting was good. The acting was good. The acting was good. The acting was good. The acting was good,CG
I originally saw most of this play on screen a few years ago on PBS. I was delighted to find that it was released on DVD. Dick Van Dyke and Mary Tyler Moore are superb in this intimate drama of two elderly people in a nursing home who become acquainted with one another through playing gin together. It was originally a play and it is a play on film. I highly recommend this DVD for anyone who enjoys a good play on film.,OR
"The HBO special was much more dramatic than the book, which was more like a biography.  The book is one of my favorites and frankly most books turned into movies fall short, but not Band of Brothers.

The use of the first person narratives at the beginning add a dose of reality to this excellent work.  Unfortunately, Band of Brothers premiered on September 9, 2001.  Current events quickly took precedent, but if you haven't seen before you owe yourself this pleasure!",OR
"Released in 1969. Everyone who had anything to do with this film is now either deceased or long out of the movie business. Who got paid for digging ""The Witchmaker"" out of the landfill almost fifty years later?  Is there a living to be made exhuming mediocrity when there's so much fresh mediocrity still above ground?  I suppose images depicting the degradation, abuse, or slaughter of young women will always appeal to enough people to make supplying them a viable business.",OR
dont let the awful title fool you.it was originally called stepkids but was changed for no particular reason.dont stop watching this movie when you see the first half hour.i was about to but i decided to give it a chance to  get much better.and it really did! it started to have very good  cinematography or something.definetely overated.well maybe because i saw it  on disney channel and they might have cut out some of the language.i really  enjoyed this movie,OR
"This review is for the Blu Ray version of Anastasia.  Regrettably, there is not a DVD version included, but the Blu Ray is high quality with a few fun extra features (a couple of games, a drawing Anastasia tutorial, etc.)

All in all, a good buy, as long as the price stays low.

It is a great animated movie, but I won't give the movie a full review since most folks looking to buy the Blu Ray already have seen and love the movie.",OR
"This is a very pleasant workout DVD with variety, even though I'm not too keen on upbeat Christian music (thankfully you can't really tell that's what it is). The DVD packaging, however, advertises 5 cardio routines - as if you can choose from 5 different workouts, which isn't the case. It's actually 5 combinations (3-4 minutes each) that are then combined at the end to complete the 25-minute cardio portion. Overall it's not too challenging but the instructors are very pleasant and motivating.",OR
"This is a nobrainer really.  I love the movie.  The plot is just a little too simple.  The movie is just a little too complex.  There are a lot of twists and turns.  It's just a little too predictable.  This is a great movie for adults and a great family movie.  I recommend it.great movieI love this series!  I love the characters,",CG
Bullet To The Head BULLET TO THE TONGUE.  The first one is the first one.  There's the scene where a woman is being chased by a group of men and they go to a lake.  The next scene is when the group of men are attacked by a group of women.  They are the most dangerous.  There's a scene where the men are attacked by a group,CG
"I know this had nothing to do with the movie. I saw it for the first time and was so pleased.  The movie is a bit cheesy, but it's a very entertaining movie.I had no idea that this film would be so well written and acted.  The acting is great.  The story is well told and the story is very well told.  I highly recommend it.It was a fun",CG
"I found this set to be an entertaining movie, and I will keep watching it.Very good.I really enjoyed the movie. The characters and the story were great. The acting was great. The acting was great. The acting was good. The acting was good. The acting was good. The acting was good. The acting was good. The acting was good. The acting was good. The acting was good.",CG
This film was recommended highly by an academic reviewer and is a must see for anyone who loves the historical accuracy of the historical accuracy of the films. The film is a tribute to the late director of the British Empire. Highly recommended.I was excited to see this movie.  The acting is great.  The story is well told and the story is very well told.  I highly recommend it.It was a fun,CG
"In these days when you have 5,000 channels you would think some of these older films would get a chance. These films are a great distraction, if for no other reason for the atypical use of some of the Hollywood talent: Yvonne de Carlo sings! Donald O'Conner is a pirate! Jeff Chandler goes undercover! Errol Flynn is a womanizer! OK, maybe the last one isn't a stretch. Still, a bunch of fun films, especially if you like watching model ships being blown to pieces.",OR
"I generally enjoy ""bad"" movies, but there weren't too many entertaining elements to this one.
The way it was shot, I was willing to let go of considering its budget.  The ""acting"" was not the worst I've seen (and can make B films diverting at times) ... it was consistently poor, though, and I couldn't find much redeeming value.  About half an hour into the film, where it made some attempt at becoming exciting, I just had to give up and move on.",OR
"I liked getting an American based movie and that they changed some of the terms such as Muggle to No-mag (spelling?) because that is true to the culture, America may be the offspring of Britain and we may all speak English but we still change things to make it our own lift vs elevator for example.

It definitely had a different feel than the previous HP movies, darker, older, more mature. But it's still neat to see the origins of some of the HP lore",OR
"What an adorable film/televison program - I was curious about this for awhile and was really happy to get the DVD. It was a fun frolic of the retelling and modern update of Jane Austen's classic novel. It was a great telling - the US verion has a scene or two cut from the final disc - Jemima Rooper's character singing Petula Clark's ""Downtown"" the characters quote it - which is hilarious. I liked it and so did my friends - it was cute.",OR
"A star-studded cast and a commendable script mixing Sherlock Holmes, Watson and Lastrade with the theory of Jack the Ripper being somehow connected with the family of Queen Victoria and the Society of Masons, mix well with shadowy streets and a cryptic message scrawled on the wall of one of the murders (which, I am told, is true) and you have a superb flick. Warning: the graphic mutilations of the Whitechapel prostitutes are subdued and never actually shown, but the thought is still gruesome.",OR
"If you're a longtime fan of the original series, you will enjoy this one. I recommend it.I really enjoyed the movie. The characters and the story were great. The acting was great. The acting was great. The acting was good. The acting was good. The acting was good. The acting was good. The acting was good. The acting was good. The acting was good. The acting was good.",CG
"This film transcends the exploitative, violent, and even violent confines of the film, and is one of the most heart-warming, touching, and deeply moving films of the year.I enjoyed it.  It is a good film, and one I would watch again.  The acting is great.  I liked the acting and the movie was great.  I think the ending was a good ending for the movie",CG
I'm totally a Brony. The only thing I can say is that it's my favorite movie!  It is so funny and it's so funny and it's funny and it's funny and it's funny and it's funny and it's funny and it's funny and it's funny and it's funny and it's funny and it's funny and it's funny and it's funny and it's funny and it,CG
5 Star show. I watch it a dozen times a week. The story is simple and the characters are well developed. The story is also very well-acted. The actors are well-acted. The special effects are well-done. The special effects are well-done. The special effects are well-done. The story is very well-acted. The story is very well-acted.,CG
"I saw this movie with my wife and she loved it.  She also loves the music and the story.  I've seen a few other movies where the story was a little contrived, but this one is really good.  The movie is really well done and the acting is believable.  The acting is also top notch.  The music is great.  The music is very good.  I recommend it to",CG
"I use this Blu-ray disc as a demo for my home theater, with a 110-inch projected image.  There are many times I do not have time to show a long movie to visitors who just want to see the theater in action, so showing a chapter from this disc is perfect.  Even teenagers, notoriously hard to please, love seeing this footage.  Well done.  I wonder if there will be a 4K version eventually, once that format catches on (assuming is does)?",OR
"Returning to the crime scene on The 13th season of ""Law and Order"" returns with former senator Fred Dalton Thompson joining in as the new DA Arthur Branch. Also in the 13th season it marks it's 300th episodes, and with the late Gregory Hines guest stating in this season. Also returning in the 13th season are Sam Waterston, Jesse L. Martin, S Epatha Merkerson, Elisabeth Rohm, and the late Jerry Orbach. There are 24 extreme episodes in the 13th season!! This is worth watching it!!!",OR
I bought this as a gift for my mom. She had mentioned one of the movies 'Snoopy Come Home' so I figured I get it for her. I saw this double feature and thought shed enjoy it. It comes with two movies the other is A Boy Named Charlie Brown. She watched it with the grandkids and said it was a big hit. The movie kept them entertained. She said the songs were really catchy. It was a really good price for two good movies!,OR
"I am 57 years old,  60 lbs. over weight and have diabetes. I have arthritis in my knees and neurapathy in my feet. I cant do any thing with jumping or hopping in it. This dvd is perfect for me. All you do is stand in one place and work your muscles.  Its amazing how quickly my body responded to it. Tracy makes you feel like you're in a real class. Anyone can do this dvd. I would even recommend it for children.",OR
"If you're a Batman fan, you'll want to watch this one. If you're a Batman fan, you'll want to watch this one. The story is great. The acting is great. The special effects are great. The story is great. The special effects are great. The special effects are great. The special effects are great. The special effects are great. The special effects are great. The special effects are great",CG
"Joan Hickson IS Miss Marple, and has the wit and wisdom of a true detective. She is one of the most beautiful women in the world. The film is a tribute to her and her life. The movie is a tribute to the best of her life. The film is a tribute to the woman who was most beautiful in her life and who is the best of all.",CG
The white Queen is a woman who is the only one who will love her. She is the only one who will love her. She is the only one who will love her. She is the only one who will love her. She is the only one who will love her. She is the only one who will love her. She is the only one who will love her. She is the only one who will love her.,CG
"We rented this movie last Saturday night and could not watch the whole thing!  It was that bad!!  The plot line is so convoluted we all (4 of us) had trouble following it!  Usually, when I rent a movie that isn't very good I'll watch it again to see what I missed, but I couldn't do it with this one.  The acting is the only thing good about it and even that couldn't save this horrible story line!  Save your money!",OR
"I really loved the book Nights in Rodanthe, so I had mixed feelings reviewing this movie because I didn't like some of the changes they made.  I loved Richard Gere and Diane Lane in the movie, which is why I gave it a four star rating.  It is a sweet love story and the chemistry between Gere and Lane is really nice.  This is a case where I do think the book was definitely better than the movie, but the movie is good.",OR
"Its a Bank Robbery Story with a few mild plot twists. Its ok but nothing to write home about. Again, you do not need to buy this video. I would rate it a C+ at best a B. Nudity: only one shower scene with a few butts. No Sex. And in case you were wondering, it is not a Gay move. Well acted but the plot is uninteresting and the little secret that you discover at the end is truly very, very, very little. Ho Hum.",OR
"Sanctuary is by far the most violent movie ever made. It is a film that I have seen twice.  The first time I watched it, I was amazed at how it was made.  The second time, I was so awed that I thought I had seen it twice.  I was wrong.

I did not know the last time I watched the film until the very end.  This time I watched it",CG
"I show this video during a break in the movie. I saw it for the first time and was so pleased. The movie is a bit long, but it's a very entertaining movie. I had no idea that this film would be so well written and acted. The acting is great. The story is well told and the story is very well told. I highly recommend it. It was a fun movie.",CG
I now have 3 of these in my basement  so handy and cheaper then installing more outets for lightes down there. One would do but with three helps with keeping spiders at bay. These are great for outside evening /night events.,OR
Not OK if you are using with a tarp zipper. The tarp is not made of blue material. It seems to be sprayed with a blue coating. The blue coating comes off on the adhesive strips. I won't buy this brand again.,OR
"Great product for lighting safe path/s of egress after hours,,"" It's Goldilocks "" not to bright or to dim, mounted in hall @ 14"" and lights foot traffic perfect, will be looking for more for other areas of travel in the house,,",OR
"I've own 3 of these compressors. This one is the best and most quietest. Hopefully it will last at least a dozen years. Sold the other because one was to heavy, the other was to loud and the other developed a leak.",OR
This is my third one. I lost the other two. I carry it all the time. Very useful. I use the file as a light weight flat head screw driver in a pinch. The plastic tooth pick is a must for me.,OR
Awesome lock and the family loves it. Retrofit into existing deadbolt was able to cover the existing bored hole with a bit of the old boring showing (approx 2 mm). Acceptable but wish I would have installed it on a new slab!,OR
"Easy to setup, communicates with Insteon parts effortlessly.  Does get glitchy every now and then when configuring other switches (suddenly had 3 switches responding to 1 switch, ended up unpairing all of them and starting from scratch, then they worked correctly)",OR
We just renovated the kitchen and I didn't have the room to have the cabinet to be customized JUST the way I wanted....So I purchased this along with another one.  I was very impressed with the quality.  Rock solid heavy.,OR
"Nice lamp, mounted to the wall above plants with a grow bulb. Fits a standard flood light.
Has a mounting hole in the middle, fit a standard drywall screw.
Long cord, but when mounted above door frame needed a extension to get to outlet.",OR
"Product is fantastic, easy installation and gives my toilet a classy look. Matches great with the rest of our brushed nickel. Very sturdy and feels like its well made. Been using for several months now and it is still in perfect condition.",OR
"As usual from Estwing, this saw has the quality and quality of a quality saw. I have one other saw that I had a similar model before and it is a great saw. I used this saw to cut",CG
Comfortable headbands.  3 sets of these are the best.  The first set is the best and the second set is the best.  I have used the T-10 version and it is still the,CG
"Good pipe to extend the life of the pipe.Very good quality.Nice little light.  Works as advertised.  The plastic parts are very sturdy, and the cover is very sturdy.  The bulb is very",CG
"Love these lights, use them daily. The only problem is that they are tiny, the light has to be so small that it doesn't fit in the light socket, so it is not effective.",CG
"Everything went together rapidly.  We have the wide-angle flashlight in our garage, the wide-angle is so bright that it's bright enough to see through a tall tree.  The motion sensor is so sensitive",CG
"I put these on and it has kept the light on for about 30 seconds. I have one other light that I had to replace, but they're still working great.Great lightI have used this bulb in the",CG
"As usual, a very handy, and very professional quality tool. I will be purchasing more of these tools.I bought this to replace the Schlage 32-60-8 bulb that I replaced with this one.",CG
Overall it's really much bigger than my original one and it's a lot more comfortable to handle. Great product. Great price. I am using it in the shop to cover a lot of metal.,CG
"Does just what I bought it for, the finish is good and easy to work with.  The finish is not very smooth or flexible.  The light itself is not great, but that is not a problem with",CG
This should be standard on all Bosch products.  I will update this review if I find any other problems.  The plastic parts are also very stiff and not easily adjustable.  The saw is well made and,CG
The chrome on these rivals the ones I bought at Home Depot.  These work well and look great.  I had to replace a couple of the plastic plastic ones in the cabinets and that was a pain in the,CG
They've been using these three times a day for over a year now.  They are strong and durable.  I had to replace a couple of the blades with these.  I used these to cut a couple,CG
Just what we needed for a night light.  We've had it for a couple of years now and it works perfectly.  The only negative is the plastic part.  I used it to make a little makeshift,CG
"Used this in a repurposed garage. The only problem is that it's not really a vacuum, but a pair of the same plastic ones.  The plastic plastic part of the vacuum is so thick that it's",CG
